latitude;longitude;nome;municipio;UF;pop_max
-4,15;-38,84;PALMACIA - CE;PALMACIA;CE;32 094
-8,68;-35,59;PALMARES - PE;PALMARES;PE;74 821
-30,25;-50,51;PALMARES DO SUL - RS;PALMARES DO SUL;RS;35 044
-21,08;-48,8;PALMARES PAULISTA - SP;PALMARES PAULISTA;SP;2 918
-26,48;-51,99;PALMAS - PR;PALMAS;PR;7 779
-10,16;-48,33;PALMAS - TO;PALMAS;TO;2 181
-14,26;-43,16;PALMAS DE MONTE ALTO - BA;PALMAS DE MONTE ALTO;BA;4 057
-25,42;-50;PALMEIRA - PR;PALMEIRA;PR;5 757
-27,58;-50,15;PALMEIRA - SC;PALMEIRA;SC;6 785
-27,89;-53,31;PALMEIRA DAS MISSOES - RS;PALMEIRA DAS MISSOES;RS;10 294
-8,72;-44,23;PALMEIRA DO PIAUI - PI;PALMEIRA DO PIAUI;PI;19 243
-20,41;-50,76;PALMEIRA D'OESTE - SP;PALMEIRA D'OESTE;SP;7 200
-9,4;-36,62;PALMEIRA DOS INDIOS - AL;PALMEIRA DOS INDIOS;AL;14 877
-5,97;-43,06;PALMEIRAIS - PI;PALMEIRAIS;PI;41 097
-2,64;-44,89;PALMEIRANDIA - MA;PALMEIRANDIA;MA;70 983
-7,86;-47,92;PALMEIRANTE - TO;PALMEIRANTE;TO;19 305
-12,52;-41,55;PALMEIRAS - BA;PALMEIRAS;BA;81 524
-16,8;-49,92;PALMEIRAS DE GOIAS - GO;PALMEIRAS DE GOIAS;GO;12 502
-9;-36,32;PALMEIRINA - PE;PALMEIRINA;PE;145 643
-13,04;-48,4;PALMEIROPOLIS - TO;PALMEIROPOLIS;TO;11 186
-17,32;-48,42;PALMELO - GO;PALMELO;GO;6 175
-16,79;-50,16;PALMINOPOLIS - GO;PALMINOPOLIS;GO;34 967
-24,89;-52,2;PALMITAL - PR;PALMITAL;PR;5 058
-22,78;-50,21;PALMITAL - SP;PALMITAL;SP;6 382
-27,35;-53,55;PALMITINHO - RS;PALMITINHO;RS;17 334
-27,06;-53,16;PALMITOS - SC;PALMITOS;SC;4 088
-16,73;-40,42;PALMOPOLIS - MG;PALMOPOLIS;MG;5 551
-24,28;-53,84;PALOTINA - PR;PALOTINA;PR;1 927
-18,17;-49,35;PANAMA - GO;PANAMA;GO;45 962
-28,29;-53,5;PANAMBI - RS;PANAMBI;RS;3 629
-19,22;-40,85;PANCAS - ES;PANCAS;ES;4 224
-8,66;-36;PANELAS - PE;PANELAS;PE;2 215
-21,35;-51,86;PANORAMA - SP;PANORAMA;SP;8 142
-30,19;-52,37;PANTANO GRANDE - RS;PANTANO GRANDE;RS;1 474
-9,74;-37,43;PAO DE ACUCAR - AL;PAO DE ACUCAR;AL;3 000
-19,44;-44,74;PAPAGAIOS - MG;PAPAGAIOS;MG;11 476
-26,37;-50,14;PAPANDUVA - SC;PAPANDUVA;SC;4 325
-7,1;-41,7;PAQUETA - PI;PAQUETA;PI;3 132
-19,86;-44,6;PARA DE MINAS - MG;PARA DE MINAS;MG;6 885
-22,61;-43,7;PARACAMBI - RJ;PARACAMBI;RJ;9 346
-17,22;-46,87;PARACATU - MG;PARACATU;MG;222 598
-3,41;-39,03;PARACURU - CE;PARACURU;CE;5 707
-2,99;-47,35;PARAGOMINAS - PA;PARAGOMINAS;PA;7 605
-21,54;-45,73;PARAGUACU - MG;PARAGUACU;MG;10 242
-22,41;-50,57;PARAGUACU PAULISTA - SP;PARAGUACU PAULISTA;SP;54 584
-28,59;-51,78;PARAI - RS;PARAI;RS;12 844
-22,16;-43,29;PARAIBA DO SUL - RJ;PARAIBA DO SUL;RJ;9 650
-6,43;-43,98;PARAIBANO - MA;PARAIBANO;MA;302 692
-23,38;-45,66;PARAIBUNA - SP;PARAIBUNA;SP;48 247
-3,43;-39,14;PARAIPABA - CE;PARAIPABA;CE;20 078
-26,61;-53,67;PARAISO - SC;PARAISO;SC;33 855
-21,01;-48,77;PARAISO - SP;PARAISO;SP;2 561
-23,28;-52,6;PARAISO DO NORTE - PR;PARAISO DO NORTE;PR;33 216
-29,66;-53,14;PARAISO DO SUL - RS;PARAISO DO SUL;RS;4 952
-10,17;-48,86;PARAISO DO TOCANTINS - TO;PARAISO DO TOCANTINS;TO;8 903
-22,55;-45,78;PARAISOPOLIS - MG;PARAISOPOLIS;MG;71 574
-6,21;-40,69;PARAMBU - CE;PARAMBU;CE;13 264
-13,44;-42,23;PARAMIRIM - BA;PARAMIRIM;BA;21 059
-4,09;-39,23;PARAMOTI - CE;PARAMOTI;CE;4 798
-6,48;-38,31;PARANA - RN;PARANA;RN;10 339
-12,61;-47,88;PARANA - TO;PARANA;TO;31 858
-22,93;-52,15;PARANACITY - PR;PARANACITY;PR;4 872
-25,52;-48,5;PARANAGUA - PR;PARANAGUA;PR;7 031
-19,67;-51,19;PARANAIBA - MS;PARANAIBA;MS;6 975
-18,91;-50,65;PARANAIGUARA - GO;PARANAIGUARA;GO;2 259
-9,66;-56,47;PARANAITA - MT;PARANAITA;MT;3 851
-23,38;-48,72;PARANAPANEMA - SP;PARANAPANEMA;SP;19 594
-22,63;-52,09;PARANAPOEMA - PR;PARANAPOEMA;PR;13 033
-20,1;-50,58;PARANAPUA - SP;PARANAPUA;SP;7 839
-8,92;-36,65;PARANATAMA - PE;PARANATAMA;PE;15 626
-14,43;-54,05;PARANATINGA - MT;PARANATINGA;MT;6 301
-23,07;-52,46;PARANAVAI - PR;PARANAVAI;PR;35 011
-23,89;-55,43;PARANHOS - MS;PARANHOS;MS;2 455
-19,27;-44,4;PARAOPEBA - MG;PARAOPEBA;MG;43 515
-21,78;-50,79;PARAPUA - SP;PARAPUA;SP;18 893
-7,32;-36,65;PARARI - PB;PARARI;PB;22 991
